CustomerID,SubscriptionType,OrderFrequency,TotalSpend,NumOrders,DeliveryPreference,AvgOrderValue,CustomerRating,Churn
2064,Basic,Weekly,2134,60,Pick-up,83.0,3.66,0
2065,Basic,Monthly,327,108,Pick-up,19.58,3.23,1
2066,Premium,Daily,1937,188,Pick-up,61.96,2.37,0
2067,Premium,Daily,4629,57,Pick-up,138.91,1.54,1
2068,Basic,Weekly,1315,31,Home Delivery,91.82,1.38,0
2069,Premium,Daily,4876,84,Home Delivery,85.37,4.33,0
2070,Premium,Weekly,1090,152,Pick-up,47.64,4.67,1
2071,Premium,Daily,967,36,Pick-up,61.58,3.6,1
2072,Premium,Monthly,935,158,Pick-up,135.35,1.41,1
2073,Basic,Daily,2802,152,Home Delivery,103.3,2.61,1
2074,Premium,Daily,71,108,Pick-up,120.23,3.92,0
2075,Basic,Weekly,4619,106,Home Delivery,73.61,4.12,0
2076,Premium,Daily,3241,158,Pick-up,98.23,1.47,0
2077,Premium,Daily,2403,86,Home Delivery,44.77,1.0,1
2078,Premium,Weekly,4849,135,Pick-up,108.76,3.85,0
2079,Basic,Monthly,736,163,Home Delivery,69.86,2.43,1
2080,Premium,Monthly,334,183,Pick-up,71.96,2.02,1
2081,Basic,Weekly,4861,14,Home Delivery,100.91,1.05,0
2082,Premium,Weekly,3797,120,Home Delivery,141.08,3.16,1
2083,Basic,Weekly,812,138,Home Delivery,18.96,4.4,0
2084,Premium,Weekly,2478,80,Home Delivery,125.46,4.83,1
2085,Basic,Weekly,2557,144,Home Delivery,50.93,3.26,0
2086,Basic,Monthly,78,182,Home Delivery,72.15,3.06,1
2087,Premium,Monthly,956,106,Home Delivery,13.07,1.34,0
2088,Basic,Weekly,3154,70,Pick-up,52.15,3.2,0
2089,Premium,Daily,4049,44,Pick-up,80.37,2.52,1
2090,Premium,Weekly,3044,73,Pick-up,17.86,3.43,1
2091,Premium,Daily,2556,45,Pick-up,78.75,2.55,0
2092,Premium,Weekly,4715,184,Pick-up,139.8,1.96,1
2093,Premium,Weekly,3659,107,Home Delivery,24.76,1.38,1
2094,Premium,Monthly,3603,84,Home Delivery,117.02,2.26,1
2095,Premium,Daily,1503,82,Home Delivery,67.35,1.39,0
2096,Premium,Daily,4883,107,Home Delivery,101.72,1.71,0
2097,Premium,Monthly,3406,185,Home Delivery,46.43,4.95,1
2098,Premium,Monthly,565,21,Pick-up,32.33,2.78,1
2099,Premium,Monthly,88,196,Pick-up,32.46,3.13,0
2100,Basic,Monthly,3392,178,Pick-up,19.87,4.49,1
2101,Basic,Daily,936,161,Pick-up,35.99,4.98,0
2102,Premium,Daily,2894,7,Home Delivery,102.99,3.33,1
2103,Premium,Weekly,2254,70,Home Delivery,133.44,4.25,1
2104,Premium,Weekly,1148,127,Home Delivery,123.98,2.31,1
2105,Premium,Monthly,1873,143,Pick-up,105.92,2.22,0
2106,Premium,Monthly,3251,160,Home Delivery,25.46,2.61,0
2107,Premium,Monthly,3205,148,Pick-up,50.49,3.69,0
2108,Premium,Weekly,3143,143,Home Delivery,53.37,3.73,0
2109,Premium,Weekly,3580,176,Home Delivery,44.99,2.26,1
2110,Basic,Weekly,3828,199,Pick-up,82.1,1.53,1
2111,Premium,Weekly,2946,149,Home Delivery,84.98,3.53,0
2112,Basic,Weekly,3503,170,Home Delivery,59.96,1.51,1
2113,Premium,Weekly,3561,154,Pick-up,59.53,3.31,1
2114,Premium,Weekly,1038,120,Home Delivery,126.0,3.77,0
2115,Basic,Monthly,4166,128,Pick-up,120.5,3.8,1
2116,Premium,Monthly,4076,142,Home Delivery,53.09,4.01,1
2117,Basic,Monthly,4229,57,Home Delivery,137.93,4.49,0
2118,Premium,Monthly,1732,165,Home Delivery,143.39,3.0,1
2119,Premium,Weekly,4715,58,Home Delivery,55.74,3.92,1
2120,Basic,Daily,4013,21,Home Delivery,59.62,3.48,1
2121,Premium,Weekly,983,82,Home Delivery,80.79,1.75,0
2122,Basic,Daily,3648,69,Home Delivery,141.76,1.1,0
2123,Premium,Monthly,3283,131,Home Delivery,132.68,2.14,1
2124,Basic,Weekly,2030,87,Pick-up,24.36,2.77,1
2125,Basic,Monthly,1905,165,Pick-up,64.98,3.47,1
2126,Premium,Weekly,3106,49,Home Delivery,87.47,4.4,0
2127,Premium,Monthly,842,147,Home Delivery,80.44,1.78,0
2128,Basic,Daily,841,115,Pick-up,37.14,1.5,0
2129,Premium,Daily,1859,89,Home Delivery,130.23,4.85,1
2130,Premium,Daily,2305,85,Home Delivery,104.77,1.43,1
2131,Premium,Weekly,3660,128,Pick-up,127.31,2.91,1
2132,Basic,Daily,1657,140,Home Delivery,130.23,3.34,1
2133,Basic,Weekly,1034,189,Home Delivery,114.77,3.17,1
2134,Basic,Daily,3726,169,Pick-up,71.49,1.34,0
2135,Basic,Daily,3430,161,Home Delivery,95.48,1.23,1
2136,Basic,Weekly,569,178,Home Delivery,32.45,1.42,1
2137,Basic,Weekly,640,117,Pick-up,104.31,3.34,1
2138,Basic,Daily,1100,196,Home Delivery,35.1,3.18,0
2139,Basic,Weekly,3683,127,Pick-up,107.15,1.93,1
2140,Basic,Daily,4494,71,Home Delivery,42.14,3.55,0
2141,Premium,Weekly,1009,86,Home Delivery,26.46,4.28,0
2142,Basic,Monthly,742,33,Pick-up,33.14,1.17,0
2143,Premium,Monthly,3949,81,Pick-up,10.28,2.99,0
2144,Premium,Monthly,4523,152,Home Delivery,110.62,3.76,0
2145,Premium,Monthly,2996,61,Pick-up,112.54,2.01,1
2146,Basic,Monthly,576,61,Pick-up,82.09,2.23,1
2147,Basic,Daily,3274,98,Home Delivery,32.59,3.45,0
2148,Basic,Monthly,2303,28,Home Delivery,21.7,4.59,0
2149,Basic,Monthly,3394,186,Home Delivery,12.68,4.24,0
2150,Premium,Monthly,4015,43,Pick-up,33.2,3.33,1
2151,Basic,Monthly,1925,169,Pick-up,134.72,3.92,1
2152,Basic,Weekly,1813,167,Pick-up,43.82,2.46,0
2153,Basic,Daily,570,86,Pick-up,59.6,3.56,1
2154,Basic,Monthly,1066,177,Home Delivery,24.75,2.86,1
2155,Basic,Monthly,166,17,Pick-up,41.13,1.76,0
2156,Premium,Monthly,2483,98,Home Delivery,82.69,3.81,0
2157,Basic,Daily,633,198,Pick-up,95.09,3.23,1
2158,Premium,Weekly,444,198,Home Delivery,44.35,2.43,1
2159,Basic,Daily,3838,98,Home Delivery,18.08,4.65,1
2160,Premium,Weekly,2818,65,Home Delivery,64.74,1.08,0
2161,Basic,Monthly,4217,74,Pick-up,42.79,2.26,0
2162,Basic,Monthly,3910,85,Home Delivery,40.74,1.23,0
2163,Premium,Daily,323,5,Home Delivery,144.38,4.07,1
2164,Premium,Daily,2063,2,Pick-up,96.28,3.81,1
2165,Premium,Weekly,4483,22,Home Delivery,87.96,2.33,0
2166,Basic,Weekly,1439,112,Pick-up,68.21,3.7,1
2167,Premium,Daily,3616,57,Pick-up,70.05,2.58,0
2168,Basic,Weekly,4752,66,Home Delivery,85.73,4.03,1
2169,Basic,Daily,215,74,Home Delivery,107.5,2.82,0
2170,Premium,Weekly,1617,98,Pick-up,108.3,2.65,1
2171,Premium,Daily,778,144,Home Delivery,34.04,4.74,1
2172,Basic,Daily,2093,112,Pick-up,80.02,2.0,0
2173,Basic,Daily,4247,179,Pick-up,67.67,1.48,0
2174,Premium,Weekly,3546,125,Pick-up,131.87,3.34,0
2175,Premium,Weekly,828,167,Home Delivery,98.4,4.88,0
2176,Premium,Weekly,263,86,Pick-up,84.55,2.51,0
2177,Basic,Daily,3812,76,Home Delivery,26.16,1.25,1
2178,Basic,Weekly,1626,88,Home Delivery,94.79,2.36,0
2179,Basic,Weekly,2498,168,Home Delivery,26.41,3.02,0
2180,Basic,Daily,2986,38,Home Delivery,57.21,1.65,0
2181,Basic,Monthly,3167,188,Pick-up,30.0,3.63,0
2182,Basic,Daily,641,59,Home Delivery,106.89,4.99,0
2183,Premium,Weekly,2770,138,Pick-up,38.88,2.81,1
2184,Basic,Daily,763,99,Pick-up,64.86,2.42,0
2185,Basic,Monthly,985,192,Home Delivery,135.39,2.6,0
2186,Basic,Daily,4387,63,Pick-up,38.6,1.46,0
2187,Premium,Weekly,51,49,Pick-up,81.09,4.53,1
2188,Basic,Monthly,2898,192,Home Delivery,68.7,2.66,1
2189,Basic,Weekly,4094,32,Pick-up,12.54,2.55,0
2190,Premium,Monthly,1999,135,Pick-up,120.99,3.64,0
2191,Basic,Monthly,967,21,Pick-up,19.67,2.77,1
2192,Basic,Daily,3224,20,Pick-up,76.4,3.59,1
2193,Basic,Daily,2291,154,Home Delivery,88.49,1.25,1
2194,Basic,Weekly,139,127,Pick-up,97.98,4.25,0
2195,Basic,Daily,1759,68,Pick-up,106.41,4.76,0
2196,Premium,Daily,2219,110,Pick-up,45.46,3.6,1
2197,Premium,Monthly,4288,116,Pick-up,11.4,4.82,0
2198,Premium,Daily,3091,143,Home Delivery,111.28,1.61,1
2199,Basic,Monthly,155,120,Pick-up,84.99,2.91,1
2200,Basic,Monthly,936,79,Home Delivery,127.06,3.41,1
2201,Basic,Monthly,477,116,Pick-up,124.99,3.33,0
2202,Premium,Weekly,1945,92,Home Delivery,128.07,2.61,1
2203,Basic,Weekly,366,14,Home Delivery,77.91,2.35,1
2204,Basic,Weekly,684,155,Home Delivery,56.71,1.51,0
2205,Premium,Monthly,1975,125,Home Delivery,120.82,2.57,1
2206,Basic,Weekly,2106,168,Home Delivery,73.18,1.65,0
2207,Premium,Weekly,3194,58,Pick-up,35.68,3.94,1
2208,Premium,Daily,2320,28,Pick-up,129.7,1.84,0
2209,Premium,Weekly,1489,26,Pick-up,133.56,1.23,1
2210,Basic,Weekly,602,113,Home Delivery,75.28,3.21,1
2211,Basic,Monthly,765,191,Pick-up,20.6,3.38,1
2212,Basic,Monthly,3961,66,Home Delivery,64.3,4.49,1
2213,Basic,Monthly,1763,153,Home Delivery,122.5,3.31,1
2214,Basic,Monthly,3439,131,Pick-up,136.25,2.38,0
2215,Basic,Monthly,1157,44,Pick-up,38.49,4.21,0
2216,Basic,Monthly,4256,97,Home Delivery,19.38,3.16,1
2217,Premium,Weekly,300,42,Home Delivery,132.83,1.32,1
2218,Basic,Monthly,2480,6,Pick-up,64.52,3.26,1
2219,Premium,Monthly,2104,167,Pick-up,85.85,4.63,0
2220,Basic,Daily,508,180,Pick-up,145.53,2.59,0
2221,Basic,Weekly,257,23,Pick-up,19.32,2.19,1
2222,Basic,Weekly,949,89,Home Delivery,100.76,1.57,0
2223,Premium,Weekly,3511,123,Pick-up,20.37,1.61,1
2224,Premium,Monthly,3435,178,Pick-up,62.57,2.73,1
2225,Premium,Monthly,71,171,Pick-up,122.53,3.38,1
2226,Premium,Monthly,459,147,Home Delivery,70.69,1.32,0
2227,Basic,Daily,944,197,Home Delivery,149.61,4.76,1
2228,Premium,Monthly,564,51,Home Delivery,88.27,4.02,1
2229,Basic,Daily,4954,11,Home Delivery,54.96,3.35,1
2230,Basic,Weekly,4159,12,Pick-up,40.82,4.31,0
2231,Premium,Monthly,2184,74,Home Delivery,59.07,1.32,0
2232,Premium,Daily,3645,8,Pick-up,62.15,2.91,0
2233,Premium,Daily,3006,152,Pick-up,19.62,3.52,1
2234,Premium,Monthly,1610,41,Pick-up,61.74,4.31,0
2235,Premium,Weekly,1316,164,Pick-up,74.99,4.13,1
2236,Premium,Weekly,2219,85,Home Delivery,111.18,2.11,0
2237,Premium,Weekly,3688,72,Home Delivery,101.94,4.76,1
2238,Premium,Daily,799,55,Home Delivery,109.23,1.5,0
2239,Basic,Daily,3477,137,Pick-up,11.17,4.5,1
2240,Premium,Daily,4830,47,Pick-up,40.47,4.88,0
2241,Premium,Daily,1977,143,Pick-up,102.64,1.71,0
2242,Basic,Weekly,3854,176,Pick-up,77.76,3.89,0
2243,Premium,Monthly,3752,104,Pick-up,10.74,1.16,1
2244,Basic,Daily,2406,42,Home Delivery,122.63,2.62,0
2245,Basic,Daily,4840,60,Pick-up,118.19,3.07,0
2246,Premium,Weekly,2385,198,Home Delivery,86.78,3.32,0
2247,Basic,Monthly,356,12,Pick-up,19.3,4.74,0
2248,Basic,Monthly,3715,130,Pick-up,117.31,3.69,1
2249,Basic,Weekly,2039,7,Home Delivery,91.72,2.93,0
2250,Basic,Weekly,711,80,Home Delivery,119.47,4.24,1
2251,Premium,Monthly,4694,131,Pick-up,115.24,4.8,1
2252,Basic,Daily,361,109,Pick-up,122.42,1.09,1
2253,Premium,Monthly,2970,3,Pick-up,82.52,4.93,1
2254,Basic,Weekly,1132,27,Pick-up,29.65,1.34,0
2255,Basic,Daily,3021,114,Home Delivery,103.96,4.26,1
2256,Basic,Daily,804,107,Pick-up,96.87,2.12,1
2257,Basic,Weekly,4180,40,Home Delivery,113.92,1.53,1
2258,Premium,Weekly,4590,161,Pick-up,33.78,2.76,1
2259,Premium,Weekly,402,129,Home Delivery,37.3,3.58,0
2260,Basic,Monthly,952,8,Home Delivery,134.66,2.52,0
2261,Basic,Monthly,3938,101,Pick-up,115.0,1.22,1
2262,Premium,Daily,208,160,Home Delivery,137.15,3.4,1
2263,Basic,Weekly,2027,124,Pick-up,116.22,4.61,1
2264,Basic,Daily,1006,176,Home Delivery,93.6,2.53,0
2265,Basic,Daily,2121,107,Pick-up,101.58,1.87,0
2266,Premium,Daily,453,101,Home Delivery,134.48,2.77,0
2267,Premium,Daily,4661,4,Pick-up,91.03,1.19,0
2268,Premium,Weekly,2829,198,Pick-up,98.53,4.28,0
2269,Basic,Daily,1437,110,Home Delivery,31.91,4.31,1
2270,Basic,Weekly,3503,19,Home Delivery,76.35,3.35,0
2271,Premium,Weekly,1005,32,Home Delivery,110.3,2.41,0
2272,Premium,Monthly,1762,137,Home Delivery,47.93,4.2,1
2273,Premium,Weekly,4753,12,Pick-up,38.32,3.22,0
2274,Premium,Monthly,1323,139,Home Delivery,53.94,4.3,0
2275,Basic,Weekly,3861,46,Pick-up,43.81,3.53,0
2276,Premium,Weekly,2675,119,Home Delivery,40.09,4.14,1
2277,Basic,Weekly,2432,16,Pick-up,69.48,3.39,0
2278,Premium,Monthly,1491,129,Pick-up,137.1,2.66,1
2279,Basic,Monthly,3029,63,Pick-up,80.99,4.83,1
2280,Premium,Daily,1847,109,Pick-up,36.31,3.16,0
2281,Premium,Monthly,4440,119,Home Delivery,20.78,3.42,0
2282,Premium,Monthly,4059,21,Home Delivery,107.46,1.88,0
2283,Premium,Monthly,4900,158,Pick-up,63.59,3.5,0
2284,Basic,Monthly,1444,13,Home Delivery,125.06,3.29,1
2285,Premium,Daily,4331,162,Home Delivery,102.33,1.74,0
2286,Basic,Monthly,1319,4,Pick-up,121.47,1.24,1
2287,Basic,Weekly,4782,156,Home Delivery,48.07,3.42,1
2288,Basic,Weekly,3764,102,Home Delivery,106.93,4.05,1
2289,Basic,Monthly,579,59,Home Delivery,46.97,3.09,1
2290,Premium,Monthly,3673,128,Pick-up,141.47,1.91,1
2291,Basic,Weekly,3008,27,Home Delivery,99.09,3.67,0
2292,Basic,Weekly,2964,69,Pick-up,55.43,1.32,1
2293,Basic,Daily,4939,25,Home Delivery,47.73,2.77,1
2294,Premium,Weekly,3641,131,Home Delivery,36.73,1.65,0
2295,Premium,Weekly,2197,97,Home Delivery,107.25,1.74,0
2296,Premium,Monthly,4623,196,Pick-up,40.62,1.81,1
2297,Premium,Weekly,3419,25,Pick-up,93.34,2.55,1
2298,Basic,Daily,989,148,Home Delivery,47.05,1.2,0
2299,Basic,Weekly,575,162,Pick-up,102.68,2.59,1
2300,Premium,Monthly,51,154,Home Delivery,124.09,3.05,0
2301,Basic,Monthly,424,126,Pick-up,118.92,2.93,0
2302,Basic,Weekly,2390,133,Pick-up,116.52,2.53,1
2303,Basic,Monthly,4055,189,Home Delivery,36.28,4.36,0
2304,Premium,Daily,3102,9,Home Delivery,22.37,1.58,1
2305,Premium,Daily,4698,116,Home Delivery,107.85,3.02,1
2306,Basic,Weekly,2415,178,Home Delivery,61.57,1.25,1
2307,Premium,Weekly,1575,134,Pick-up,70.53,1.28,0
2308,Premium,Weekly,4526,60,Pick-up,14.36,3.3,1
2309,Premium,Monthly,1696,172,Pick-up,46.34,3.26,0
2310,Premium,Daily,63,121,Home Delivery,14.71,4.51,1
2311,Premium,Daily,4649,139,Home Delivery,133.09,3.23,1
2312,Basic,Monthly,2328,194,Pick-up,44.08,4.84,0
2313,Premium,Daily,3205,175,Home Delivery,88.03,1.19,1
2314,Basic,Weekly,179,108,Pick-up,15.46,1.39,1
2315,Basic,Weekly,3864,108,Pick-up,103.36,1.18,0
2316,Premium,Weekly,4983,131,Pick-up,55.22,1.74,0
2317,Basic,Daily,3266,76,Pick-up,135.71,3.17,0
2318,Basic,Weekly,2988,30,Pick-up,134.34,3.58,1
2319,Basic,Monthly,3978,21,Home Delivery,55.54,1.18,0
2320,Premium,Monthly,2090,156,Home Delivery,136.13,4.78,0
2321,Premium,Daily,77,190,Home Delivery,149.46,4.37,1
2322,Basic,Monthly,2163,161,Pick-up,125.56,2.19,0
2323,Premium,Monthly,1302,163,Pick-up,128.28,1.31,1
2324,Premium,Daily,4406,180,Pick-up,44.86,1.68,1
2325,Premium,Weekly,2096,34,Pick-up,90.74,1.51,0
2326,Premium,Weekly,4605,41,Home Delivery,19.42,1.49,1
2327,Basic,Weekly,4073,51,Home Delivery,23.29,3.07,0
2328,Basic,Daily,4446,175,Pick-up,149.84,1.98,0
2329,Premium,Monthly,3424,82,Pick-up,55.73,2.43,0
2330,Premium,Weekly,3516,58,Pick-up,114.75,4.96,0
2331,Basic,Weekly,3131,75,Home Delivery,122.93,3.74,1
2332,Basic,Daily,3828,185,Home Delivery,130.12,4.8,1
2333,Premium,Weekly,679,23,Home Delivery,149.67,1.57,0
2334,Basic,Daily,319,176,Pick-up,43.81,2.53,0
2335,Premium,Monthly,2689,128,Pick-up,15.65,3.22,1
2336,Premium,Daily,2043,150,Home Delivery,67.57,1.31,0
2337,Basic,Daily,2941,17,Pick-up,28.21,1.02,1
2338,Basic,Daily,3482,69,Home Delivery,13.14,3.68,0
2339,Premium,Daily,1330,108,Pick-up,60.46,3.57,1
2340,Premium,Monthly,2410,139,Home Delivery,119.72,2.64,1
2341,Basic,Monthly,625,94,Pick-up,89.27,2.96,1
2342,Premium,Weekly,1357,15,Home Delivery,53.79,2.66,0
2343,Basic,Monthly,3242,91,Home Delivery,101.61,1.1,0
2344,Premium,Monthly,3228,163,Home Delivery,42.48,2.34,0
2345,Basic,Weekly,2784,33,Home Delivery,12.01,1.71,0
2346,Basic,Monthly,2262,125,Home Delivery,117.01,1.39,0
2347,Basic,Daily,2402,16,Home Delivery,97.32,4.83,1
2348,Premium,Daily,3618,162,Pick-up,116.72,3.4,1
2349,Premium,Weekly,1705,66,Pick-up,15.45,3.91,1
2350,Basic,Weekly,1629,168,Pick-up,127.2,2.26,1
2351,Premium,Weekly,2253,156,Home Delivery,96.73,2.57,1
2352,Basic,Daily,1440,47,Home Delivery,88.88,1.95,1
2353,Basic,Monthly,1792,167,Pick-up,97.45,1.39,1
2354,Premium,Daily,1975,198,Home Delivery,131.02,1.72,0
2355,Premium,Weekly,669,148,Home Delivery,92.17,4.19,1
2356,Basic,Monthly,1324,124,Home Delivery,91.33,3.71,0
2357,Premium,Monthly,1006,1,Home Delivery,148.7,3.19,1
2358,Premium,Daily,1989,87,Home Delivery,115.94,2.9,1
2359,Basic,Weekly,4003,128,Pick-up,71.92,4.69,0
2360,Basic,Daily,2431,191,Pick-up,109.04,1.29,1
2361,Premium,Monthly,1018,67,Pick-up,64.49,2.12,0
2362,Basic,Daily,1366,4,Pick-up,42.04,2.4,1
2363,Basic,Daily,1093,186,Pick-up,93.56,4.13,0
2364,Premium,Weekly,331,153,Home Delivery,139.95,4.97,1
2365,Basic,Weekly,2894,47,Home Delivery,140.08,1.96,0
2366,Basic,Monthly,1108,38,Home Delivery,57.87,4.5,0
2367,Premium,Daily,4343,143,Home Delivery,83.87,4.32,1
2368,Premium,Daily,2582,191,Pick-up,39.63,1.9,1
2369,Basic,Daily,3878,21,Pick-up,149.39,2.6,0
2370,Basic,Monthly,1058,57,Pick-up,147.36,2.64,1
2371,Premium,Monthly,1279,117,Home Delivery,100.93,4.91,0
2372,Premium,Weekly,1085,181,Pick-up,122.62,1.72,1
2373,Premium,Weekly,4635,46,Home Delivery,110.11,4.2,0
2374,Premium,Weekly,325,142,Pick-up,93.04,2.34,1
2375,Basic,Daily,2790,145,Pick-up,17.47,3.92,0
2376,Premium,Daily,2339,39,Home Delivery,73.67,2.68,1
2377,Premium,Weekly,1289,137,Home Delivery,104.47,3.31,0
2378,Basic,Daily,175,99,Pick-up,104.85,4.33,0
2379,Premium,Weekly,4115,77,Pick-up,62.24,4.22,1
2380,Basic,Monthly,4362,115,Home Delivery,141.84,4.47,1
2381,Premium,Weekly,3918,134,Pick-up,33.43,1.24,0
2382,Premium,Monthly,1258,151,Pick-up,80.05,3.77,0
2383,Premium,Daily,3299,187,Home Delivery,106.72,1.56,0
2384,Basic,Weekly,968,91,Pick-up,107.6,2.66,0
2385,Basic,Daily,3973,98,Home Delivery,100.81,3.19,1
2386,Premium,Monthly,4453,120,Pick-up,48.54,2.61,0
2387,Basic,Monthly,2019,46,Home Delivery,31.87,3.08,0
2388,Basic,Monthly,2843,38,Pick-up,99.03,4.99,0
2389,Basic,Daily,941,142,Home Delivery,93.9,1.54,1
2390,Basic,Daily,4520,100,Pick-up,35.11,3.7,0
2391,Basic,Daily,2083,72,Home Delivery,108.72,2.58,1
2392,Basic,Daily,1414,190,Pick-up,73.72,1.53,1
2393,Premium,Monthly,178,35,Pick-up,103.49,1.63,1
2394,Premium,Monthly,1064,147,Pick-up,127.23,4.8,1
2395,Basic,Weekly,1849,30,Pick-up,33.76,4.52,1
2396,Premium,Weekly,4662,78,Pick-up,12.68,4.63,1
2397,Premium,Daily,1568,84,Pick-up,119.07,4.97,1
2398,Premium,Monthly,4231,113,Pick-up,95.36,1.83,0
2399,Premium,Monthly,1248,25,Pick-up,107.95,2.42,0
2400,Basic,Monthly,3923,168,Pick-up,127.34,3.68,1
2401,Premium,Weekly,2524,88,Home Delivery,122.39,2.94,0
2402,Premium,Weekly,3535,14,Home Delivery,144.53,2.67,0
2403,Basic,Monthly,4099,154,Pick-up,85.03,2.43,1
2404,Basic,Monthly,3769,102,Home Delivery,78.39,3.38,0
2405,Premium,Monthly,352,150,Pick-up,66.26,3.3,1
2406,Premium,Weekly,4002,176,Pick-up,31.52,1.65,0
2407,Premium,Monthly,4733,83,Home Delivery,90.17,2.89,1
2408,Premium,Monthly,1036,110,Pick-up,48.78,3.21,1
2409,Premium,Daily,1913,179,Pick-up,138.98,3.28,0
2410,Premium,Daily,4490,131,Home Delivery,91.65,1.84,0
2411,Basic,Weekly,4959,170,Home Delivery,93.0,3.97,1
2412,Premium,Monthly,3122,19,Pick-up,59.69,1.1,1
2413,Premium,Monthly,3174,28,Home Delivery,17.28,2.42,1
2414,Basic,Daily,1377,173,Home Delivery,14.44,4.12,0
2415,Basic,Weekly,2458,71,Pick-up,69.27,3.26,0
2416,Basic,Daily,3723,63,Home Delivery,21.84,2.04,0
2417,Basic,Daily,3341,73,Home Delivery,94.96,3.78,0
2418,Premium,Daily,4083,124,Pick-up,133.34,3.27,1
2419,Premium,Daily,753,119,Home Delivery,133.61,4.18,1
2420,Premium,Monthly,624,121,Home Delivery,102.27,3.94,1
2421,Premium,Monthly,3282,19,Pick-up,39.57,3.44,1
